image_path	question	answer	gt
V: ['/content/data/coco/val2014/COCO_val2014_000000310196.jpg']	Is there a snowboard in the image?	Yes, there is a snowboard in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000310196.jpg']	Is there a car in the image?	No, there is no car in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000310196.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000310196.jpg']	Is there a sandwich in the image?	No, there is no sandwich in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000310196.jpg']	Is there a skis in the image?	Yes, there is a skier in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000310196.jpg']	Is there a couch in the image?	No, there is no couch in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000210789.jpg']	Is there a truck in the image?	Yes, there is a truck in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000210789.jpg']	Is there a pizza in the image?	No, there is no pizza in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000210789.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000210789.jpg']	Is there a sink in the image?	No, there is no sink in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000210789.jpg']	Is there an umbrella in the image?	Yes, there is an umbrella	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000210789.jpg']	Is there a cell phone in the image?	Yes, there is a cell phone in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000429109.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000429109.jpg']	Is there a sheep in the image?	No, there is no sheep in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000429109.jpg']	Is there a bicycle in the image?	Yes, there is a bicycle	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000429109.jpg']	Is there a broccoli in the image?	No, there is no broccoli	No
V: ['/content/data/coco/val2014/COCO_val2014_000000429109.jpg']	Is there a car in the image?	Yes, there is a car in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000429109.jpg']	Is there a tennis racket in the image?	No, there is no tennis racket	No
V: ['/content/data/coco/val2014/COCO_val2014_000000211674.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000211674.jpg']	Is there a teddy bear in the image?	No, there is no teddy bear	No
V: ['/content/data/coco/val2014/COCO_val2014_000000211674.jpg']	Is there a potted plant in the image?	Yes, there is a potted plant	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000211674.jpg']	Is there a broccoli in the image?	No, there is no broccoli	No
V: ['/content/data/coco/val2014/COCO_val2014_000000211674.jpg']	Is there a car in the image?	Yes, there is a car in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000211674.jpg']	Is there an orange in the image?	Yes, there is an orange in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000458338.jpg']	Is there a traffic light in the image?	Yes, there is a traffic light in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000458338.jpg']	Is there a train in the image?	No, there is no train in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000458338.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000458338.jpg']	Is there a surfboard in the image?	No, there is no surfboard	No
V: ['/content/data/coco/val2014/COCO_val2014_000000458338.jpg']	Is there a car in the image?	Yes, there is a car in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000458338.jpg']	Is there a kite in the image?	Yes, there is a kite in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000283412.jpg']	Is there a dog in the image?	Yes, there is a small white dog	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000283412.jpg']	Is there a toaster in the image?	Yes, there is a toaster in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000283412.jpg']	Is there a dining table in the image?	Yes, there is a dining table	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000283412.jpg']	Is there a sports ball in the image?	No, there is no sports ball in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000283412.jpg']	Is there a bed in the image?	Yes, there is a bed in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000283412.jpg']	Is there a book in the image?	Yes, there is a book in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000265719.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000265719.jpg']	Is there a traffic light in the image?	No, there is no traffic light in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000265719.jpg']	Is there a spoon in the image?	Yes, there is a spoon in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000265719.jpg']	Is there a bird in the image?	No, there is no bird in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000265719.jpg']	Is there a fork in the image?	Yes, there is a fork in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000265719.jpg']	Is there a truck in the image?	No, there is no truck in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000461331.jpg']	Is there a tv in the image?	No, there is no TV in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000461331.jpg']	Is there a bowl in the image?	No, there is no bowl in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000461331.jpg']	Is there a toaster in the image?	Yes, there is a toaster in	Yes
